s_cpu,s_mem,s_node_frag,s_active,s_lbf_c,s_lbf_m,b_cpu_avg,b_mem_avg,w_pod,w_cpu,w_mem,w_pow,r_pow,r_node_frag,r_paper_frag,r_unsched,r_active,r_lbf_c,r_lbf_m
0.3576,0.355,0.6521,17,1.0729,0.9878,1.034,4.8181,0.0879,0.0726,0.0877,0.7518,2103.18,0.492277,0.0,0.0,20,0.8257,0.7491
0.4968,0.5252,0.4923,20,0.8257,0.7491,1.0058,4.9785,0.0137,0.0242,0.8979,0.0642,3104.72,0.437216,0.0,0.0,22,0.7245,0.657
0.5535,0.5844,0.4372,22,0.7245,0.657,0.9594,5.2039,0.2267,0.2366,0.2849,0.2518,7378.56,0.395345,0.0,0.0,30,0.5938,0.5129
0.5914,0.6266,0.3953,30,0.5938,0.5129,1.0244,5.0158,0.7805,0.076,0.0646,0.0789,7831.33,0.35355,0.0,0.0,30,0.4829,0.3941
0.6307,0.6689,0.3536,30,0.4829,0.3941,0.9062,5.0296,0.8084,0.0416,0.0932,0.0567,8069.91,0.31091,0.0,0.0,30,0.4026,0.2981
0.6661,0.7123,0.3109,30,0.4026,0.2981,0.9892,5.0523,0.1826,0.3134,0.3003,0.2037,8142.91,0.266442,0.0,0.0,30,0.3785,0.2767
0.7108,0.7579,0.2664,30,0.3785,0.2767,1.0326,5.0331,0.3199,0.2316,0.0519,0.3967,8236.14,0.228975,0.0,0.0,30,0.3447,0.2251
0.7537,0.7953,0.229,30,0.3447,0.2251,0.9422,5.0597,0.0487,0.0925,0.7806,0.0782,8372.36,0.189546,0.0,0.0,30,0.2923,0.1887
0.7845,0.8394,0.1895,30,0.2923,0.1887,0.9836,4.9055,0.1351,0.0569,0.436,0.3719,8409.35,0.170616,0.007166,0.042,30,0.2779,0.1677
0.8039,0.86,0.1706,30,0.2779,0.1677,0.9928,4.8116,0.1132,0.2904,0.3648,0.2316,8409.35,0.170616,0.022025,0.1291,30,0.2779,0.1677
0.8039,0.86,0.1706,30,0.2779,0.1677,1.0142,4.8933,0.0667,0.827,0.0443,0.0619,8409.35,0.170616,0.034408,0.2017,30,0.2779,0.1677
0.0,0.0,1.0,0,0,0,0.9832,5.1208,0.1639,0.168,0.1594,0.5087,1932.95,0.637508,0.0,0.0,20,1.0,0.9068
0.3297,0.3736,0.6375,20,1.0,0.9068,1.0538,5.0594,0.5227,0.2218,0.1718,0.0837,6870.57,0.549512,0.0,0.0,30,0.7458,0.6709
0.4076,0.4646,0.5495,30,0.7458,0.6709,0.9902,4.9844,0.3237,0.29,0.1972,0.1892,7128.19,0.427688,0.0,0.0,30,0.6635,0.6041
0.5231,0.5945,0.4277,30,0.6635,0.6041,0.9398,5.2033,0.3843,0.3646,0.1025,0.1485,7581.94,0.380892,0.0,0.0,30,0.546,0.4818
0.5641,0.6427,0.3809,30,0.546,0.4818,1.0432,4.9563,0.2296,0.1762,0.372,0.2222,7789.8,0.334326,0.0,0.0,30,0.4747,0.4222
0.6102,0.6907,0.3343,30,0.4747,0.4222,0.9656,4.8785,0.1766,0.279,0.2612,0.2832,7885.56,0.296339,0.0,0.0,30,0.4447,0.3713
0.6547,0.7286,0.2963,30,0.4447,0.3713,1.02,5.0198,0.2711,0.4387,0.0518,0.2384,8022.44,0.259408,0.0,0.0,30,0.4051,0.3084
0.6986,0.7655,0.2594,30,0.4051,0.3084,0.9606,5.0912,0.4779,0.2221,0.1819,0.1181,8270.66,0.218307,0.0,0.0,30,0.3332,0.2077
0.7312,0.8077,0.2183,30,0.3332,0.2077,0.9542,5.0638,0.0718,0.0699,0.7739,0.0844,8375.54,0.181835,0.0,0.0,30,0.2967,0.1855
0.7634,0.8506,0.1818,30,0.2967,0.1855,1.0374,5.2006,0.3534,0.2469,0.1402,0.2594,8407.73,0.164211,0.008211,0.05,30,0.2864,0.162
0.7807,0.8683,0.1642,30,0.2864,0.162,1.0506,5.1348,0.2762,0.3325,0.3047,0.0866,8407.73,0.164211,0.022392,0.1364,30,0.2864,0.162
0.7807,0.8683,0.1642,30,0.2864,0.162,1.0292,4.9232,0.0644,0.0564,0.0585,0.8208,8407.73,0.164211,0.034211,0.2083,30,0.2864,0.162
0.0,0.0,1.0,0,0,0,1.0306,4.9554,0.0543,0.0775,0.055,0.8132,1550.8,0.651863,0.0,0.0,18,1.0241,0.9448
0.3564,0.3526,0.6519,18,1.0241,0.9448,0.9988,4.9701,0.0396,0.0344,0.0637,0.8623,2107.0,0.486731,0.0,0.0,20,0.8048,0.7477
0.4938,0.5253,0.4867,20,0.8048,0.7477,1.0182,4.9415,0.3928,0.0761,0.4429,0.0882,7090.65,0.429778,0.0,0.0,30,0.649,0.6156
0.5437,0.5874,0.4298,30,0.649,0.6156,0.981,4.9348,0.3169,0.2342,0.2852,0.1637,7588.85,0.386033,0.0,0.0,30,0.5276,0.4925
0.5854,0.6314,0.386,30,0.5276,0.4925,0.9914,5.0067,0.273,0.3647,0.217,0.1453,7773.74,0.341758,0.0,0.0,30,0.4524,0.4195
0.6307,0.6769,0.3418,30,0.4524,0.4195,1.0512,5.0959,0.3993,0.2603,0.2232,0.1172,8067.99,0.300823,0.0,0.0,30,0.3632,0.3196
0.6719,0.7181,0.3008,30,0.3632,0.3196,0.97,4.9826,0.1435,0.1614,0.5791,0.1159,8114.69,0.261127,0.0,0.0,30,0.3634,0.2956
0.7161,0.7583,0.2611,30,0.3634,0.2956,1.0132,5.1541,0.2013,0.1041,0.1544,0.5402,8262.57,0.221442,0.0,0.0,30,0.3105,0.2317
0.7553,0.7982,0.2214,30,0.3105,0.2317,0.945,4.9551,0.304,0.0651,0.3296,0.3013,8383.5,0.183132,0.0,0.0,30,0.2601,0.1928
0.7848,0.8418,0.1831,30,0.2601,0.1928,0.9572,5.0612,0.0586,0.0394,0.8249,0.0771,8427.15,0.162842,0.006839,0.042,30,0.2415,0.162
0.8038,0.8622,0.1628,30,0.2415,0.162,1.0994,4.7849,0.1613,0.2438,0.2773,0.3176,8427.15,0.162842,0.021021,0.1291,30,0.2415,0.162
0.8038,0.8622,0.1628,30,0.2415,0.162,0.9924,5.0151,0.7977,0.0834,0.025,0.0938,8427.15,0.162842,0.03284,0.2017,30,0.2415,0.162
0.0,0.0,1.0,0,0,0,1.0586,4.9288,0.3554,0.2645,0.0465,0.3336,3854.88,0.654352,0.0,0.0,25,0.989,0.9256
0.3405,0.3549,0.6544,25,0.989,0.9256,0.9904,5.0494,0.2101,0.2772,0.234,0.2786,4450.33,0.49565,0.0,0.0,26,0.7955,0.731
0.4845,0.5189,0.4956,26,0.7955,0.731,0.977,4.8062,0.1651,0.3855,0.395,0.0544,7012.83,0.420532,0.0,0.0,30,0.6711,0.6256
0.5536,0.6016,0.4205,30,0.6711,0.6256,0.9644,4.9897,0.1075,0.1733,0.3954,0.3239,7360.61,0.373723,0.0,0.0,30,0.5654,0.5319
0.5977,0.6504,0.3737,30,0.5654,0.5319,0.995,4.9672,0.3167,0.1782,0.2718,0.2333,7824.61,0.334008,0.0,0.0,30,0.4569,0.4181
0.6357,0.6904,0.334,30,0.4569,0.4181,1.0564,5.1283,0.1431,0.2591,0.151,0.4468,7915.15,0.292881,0.0,0.0,30,0.4256,0.3675
0.6849,0.7314,0.2929,30,0.4256,0.3675,0.9346,5.1464,0.3041,0.2564,0.0529,0.3866,8097.68,0.253012,0.0,0.0,30,0.3674,0.292
0.7231,0.7715,0.253,30,0.3674,0.292,0.9334,4.9854,0.3492,0.2125,0.3454,0.093,8231.94,0.213831,0.0,0.0,30,0.3233,0.2445
0.7563,0.8139,0.2138,30,0.3233,0.2445,0.9676,5.0874,0.3092,0.1836,0.2272,0.28,8348.57,0.174555,0.0,0.0,30,0.281,0.1965
0.791,0.8554,0.1746,30,0.281,0.1965,0.9344,5.1156,0.3391,0.1579,0.239,0.264,8423.49,0.150253,0.004207,0.028,30,0.248,0.1539
0.8137,0.8813,0.1503,30,0.248,0.1539,1.0168,4.8927,0.183,0.1292,0.3629,0.3248,8423.49,0.150253,0.017484,0.1164,30,0.248,0.1539
0.8137,0.8813,0.1503,30,0.248,0.1539,0.9602,4.9372,0.0804,0.8315,0.0194,0.0687,8423.49,0.150253,0.028548,0.19,30,0.248,0.1539
0.0,0.0,1.0,0,0,0,1.0286,5.1412,0.2084,0.1848,0.3311,0.2758,1950.85,0.624464,0.0,0.0,20,1.0026,0.91
0.3363,0.3893,0.6245,20,1.0026,0.91,0.8688,5.198,0.2572,0.2276,0.4005,0.1147,6533.31,0.490248,0.0,0.0,30,0.8134,0.7344
0.4402,0.5373,0.4902,30,0.8134,0.7344,0.9534,5.2052,0.1331,0.3179,0.2137,0.3353,6980.01,0.406555,0.0,0.0,30,0.6982,0.6045
0.5211,0.6222,0.4066,30,0.6982,0.6045,0.9466,4.9904,0.1572,0.3603,0.357,0.1255,7380.46,0.360269,0.0,0.0,30,0.592,0.5098
