s_cpu,s_mem,s_frag,w_pod,w_cpu,w_mem,w_pow,r_frag,r_unsched,r_pow,r_lbf_c,r_lbf_m
0.1675087719298246,0.1887533166273585,0.0,0.1759,0.2701,0.185,0.369,0.0,0.0,7039.267462798831,0.6662468949151917,0.6116768033406729
0.2577894736842105,0.28230616155660376,0.0,0.4155,0.1002,0.1512,0.3331,0.0,0.0,7510.086739728642,0.5398105760025101,0.4922242341136925
0.34387719298245617,0.37442880306603776,0.0,0.1668,0.2221,0.2414,0.3696,0.0,0.0,7744.65225094271,0.45983187573487627,0.4156890652449741
0.4278596491228071,0.46654038915094337,0.0,0.1206,0.3755,0.375,0.1289,0.0,0.0,7834.8933145174005,0.44198676147649957,0.3650459356867784
0.5112807017543862,0.5623481721698114,0.0,0.2526,0.2761,0.2785,0.1928,0.0,0.0,8007.835407689772,0.397402284807558,0.2921186536313028
0.5967368421052633,0.6541631043632076,0.0,0.2625,0.2546,0.2873,0.1956,0.0,0.0,8131.956603733948,0.3706093987630927,0.2436961078480756
0.6807719298245615,0.7506729068396226,0.0,0.2352,0.2593,0.1729,0.3326,0.0,0.0,8332.523505045527,0.30420206886107687,0.15571336902792213
0.7635087719298246,0.8448684404481132,0.0,0.3767,0.1382,0.1546,0.3305,0.004455906801874103,0.03,8407.074544116393,0.27847048217730747,0.12403253024387297
0.8262982456140351,0.9108339475235849,0.004455906801874103,0.2143,0.1898,0.3379,0.2579,0.01755357224980707,0.11818181818181818,8407.074544116393,0.27847048217730747,0.12403253024387297
0.8262982456140351,0.9108339475235849,0.01755357224980707,0.3472,0.0741,0.3703,0.2085,0.02846829345641788,0.19166666666666668,8407.074544116393,0.27847048217730747,0.12403253024387297
0.8262982456140351,0.9108339475235849,0.02846829345641788,0.049,0.3448,0.1776,0.4286,0.03770382678508856,0.25384615384615383,8407.074544116393,0.27847048217730747,0.12403253024387297
0.0,0.0,0.0,0.3593,0.1282,0.2373,0.2752,0.0,0.0,1943.2796090113445,0.9812325368774585,0.9141244790522552
0.08336842105263158,0.09377395341981132,0.0,0.3742,0.0618,0.1028,0.4612,0.0,0.0,2100.5278760918955,0.8198040759278342,0.7477022969610689
0.16729824561403508,0.18611622936320754,0.0,0.301,0.2449,0.2252,0.229,0.0,0.0,6989.368178860362,0.6796171801272568,0.6329932022667432
0.2543333333333333,0.2775526975235849,0.0,0.2578,0.2722,0.2485,0.2215,0.0,0.0,7490.4618895141275,0.5486822788512277,0.5070553788053678
0.34159649122807006,0.37457326061320756,0.0,0.2191,0.2558,0.3312,0.1938,0.0,0.0,7751.669543250076,0.4648810411438489,0.4263924172723861
0.43466666666666653,0.47050302181603776,0.0,0.1314,0.2099,0.3923,0.2665,0.0,0.0,7877.795985171911,0.4282176236964718,0.3655551916125846
0.5242456140350877,0.5658870135613208,0.0,0.3661,0.1055,0.058,0.4703,0.0,0.0,8004.034944018237,0.4058028717259967,0.3182553849746847
0.6101754385964914,0.6589003537735849,0.0,0.4296,0.2046,0.1813,0.1845,0.0,0.0,8182.81379887397,0.36046102619933773,0.250695489707041
0.6948070175438598,0.7552185288915094,0.0,0.0963,0.3855,0.2524,0.2658,0.0,0.0,8332.80277348138,0.3153665008147135,0.19219053499112618
0.787982456140351,0.8482830925707547,0.0,0.2946,0.1769,0.3788,0.1497,0.004599298790877125,0.03,8427.193913230969,0.27620657760493467,0.16102952518363703
0.8529122807017545,0.9141133549528302,0.004599298790877125,0.1391,0.4172,0.1446,0.2991,0.01811844978224322,0.11818181818181818,8427.193913230969,0.27620657760493467,0.16102952518363703
0.8529122807017545,0.9141133549528302,0.01811844978224322,0.1292,0.1727,0.38,0.3181,0.029384408941714967,0.19166666666666668,8427.193913230969,0.27620657760493467,0.16102952518363703
0.8529122807017545,0.9141133549528302,0.029384408941714967,0.3518,0.1484,0.2155,0.2843,0.038917143615114135,0.25384615384615383,8427.193913230969,0.27620657760493467,0.16102952518363703
0.0,0.0,0.0,0.3772,0.076,0.3837,0.1631,0.0,0.0,1951.091999394359,0.9956514923406912,0.8946565506983433
